cust_id	cust_name	cust_user_id	cust_create_id	cust_source	cust_industry	cust_level	cust_linkman	cust_phone	cust_mobile	cust_zipcode	cust_address	cust_createtime
1	巴湘石锅鱼·水库鱼（总店）	\N	1	6	3	23	小雪	010-88888887	13848399998	100096	北京昌平区西三旗	2016-04-08 16:32:01
2	金源福城肥牛火锅（远大路金源店）	\N	1	7	3	23	小雪	010-88888887	13848399998	100096	北京昌平区西三旗	2016-04-08 16:32:01
4	德祥南门涮肉（北苑店）	\N	1	7	3	23	小雪	010-88888887	13848399998	100096	北京昌平区西三旗	2016-04-08 16:32:01
5	重八牛府之初入江湖（双榆树店）	\N	1	7	3	23	小雪	010-88888887	13848399998	100096	北京昌平区西三旗	2016-04-08 16:32:01
6	老诚一锅（学清路店）	\N	1	6	3	23	小雪	010-88888887	13848399998	100096	北京昌平区西三旗	2016-04-08 16:32:01
7	德祥南门涮肉（甜水园店）	\N	1	7	3	23	小雪	010-88888887	13848399998	100096	北京昌平区西三旗	2016-04-08 16:32:01
8	阿田大虾（房山城关店）	\N	1	7	3	23	小雪	010-88888887	13848399998	100096	北京昌平区西三旗	2016-04-08 16:32:01
9	福口居（北太平庄店）	\N	1	7	3	23	小雪	010-88888887	13848399998	100096	北京昌平区西三旗	2016-04-08 16:32:01
10	攀成钢小郡肝串串香（海淀直营总店）	\N	1	7	3	23	小雪	010-88888887	13848399998	100096	北京昌平区西三旗	2016-04-08 16:32:01
11	福成肥牛（天竺机场分店）	\N	1	7	3	23	小雪	010-88888887	13848399998	100096	北京昌平区西三旗	2016-04-08 16:32:01
12	黄记煌三汁焖锅（大红门银泰店）	\N	1	7	3	23	小雪	010-88888887	13848399998	100096	北京昌平区西三旗	2016-04-08 16:32:01
13	李二鲜鱼火锅	\N	1	7	3	23	小雪	010-88888887	13848399998	100096	北京昌平区西三旗	2016-04-08 16:32:01
14	漫火锅	\N	1	7	3	23	小雪	010-88888887	13848399998	100096	北京昌平区西三旗	2016-04-08 16:32:01
15	七星园涮肉	\N	2	7	3	23	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:01
